ProductID,Product,ProductCategory,Price,Description,AlsoBought1,AlsoBought2,AlsoBought3
22,Microsoft 365 Handbook,Books,150,Handbook for Microsoft 365.,Azure Fundamentals,Power BI Guide,
23,Graphics Card,Hardware,250,High-performance graphics card.,SSD Drive,Router,
24,SSD Drive,Hardware,180,Solid state drive for fast storage.,Graphics Card,USB-C Hub,
25,Router,Hardware,175,High-speed wireless router.,Graphics Card,SSD Drive,
26,Tech Cap,Clothing,20,Adjustable cap with tech logo.,Tech T-Shirt,Microsoft Hoodie,
27,Tech Jacket,Clothing,60,Water-resistant tech jacket.,Tech T-Shirt,Azure Socks,
28,Keyboard,Hardware,50,Mechanical keyboard with backlight.,Microsoft Mouse,Mouse Pad,
29,Monitor,Electronics,200,24-inch 1080p monitor display.,Monitor Stand,HDMI Cable,
30,Webcam,Electronics,80,HD USB webcam for video calls.,Monitor,Microphone,
31,VR Headset,Electronics,300,Virtual reality gaming headset.,Gaming Controller,Gaming Headset,
32,Smartphone,Electronics,700,Latest model smartphone.,Smartwatch,Bluetooth Speaker,
33,Smartwatch,Electronics,250,Wearable smart watch with fitness tracking.,Smartphone,Wireless Charger,
34,Drone,Electronics,500,Quadcopter drone with HD camera.,Camera,Memory Card,
35,Projector,Electronics,400,HD home theater projector.,Bluetooth Speaker,HDMI Cable,
36,External Hard Drive,Accessories,100,Portable external hard drive, 1TB.,USB-C Hub,Laptop Bag
37,HDMI Cable,Accessories,15,High-speed HDMI cable, 2m.,Monitor,Projector
38,Mouse Pad,Accessories,10,Ergonomic mouse pad with wrist rest.,Keyboard,Microsoft Mouse,
39,Headphones,Accessories,80,Noise-cancelling headphones.,Microphone,Webcam,
40,Surge Protector,Accessories,25,Multi-outlet surge protector.,Router,Monitor,
41,SQL Server,Software,1000,Enterprise database server software.,Windows Server,Visual Studio,
42,Azure DevOps,Software,50,Cloud DevOps service subscription.,Office 365,GitHub Enterprise,
43,GitHub Enterprise,Software,250,Enterprise source code hosting service.,Azure DevOps,Visual Studio,
44,Adobe Photoshop,Software,300,Professional image editing software.,Surface Book,Visual Studio,
45,Antivirus Software,Software,60,PC antivirus security suite.,Windows 11 Pro,Office 365,
46,Windows Server,Software,700,Server operating system for businesses.,SQL Server,Visual Studio,
47,MS Project,Software,600,Project management software.,Office 365,Windows 11 Pro,
48,C# Programming Book,Books,45,Guide to C# programming language.,JavaScript Guide,Python Handbook,
49,Azure Architecture,Books,55,Guide to Azure cloud architecture.,Azure Fundamentals,Cloud Security Basics,
50,Data Science Handbook,Books,65,Handbook on data science techniques.,Machine Learning Guide,AI Fundamentals,
51,Machine Learning Guide,Books,70,Introduction to machine learning concepts.,Data Science Handbook,AI Fundamentals,
52,Cloud Security Basics,Books,50,Basics of cloud security practices.,Azure Fundamentals,Azure Architecture,
53,DevOps for Dummies,Books,40,Beginner's guide to DevOps.,Azure DevOps,GitHub Enterprise,
54,AI Fundamentals,Books,60,Fundamentals of artificial intelligence.,Machine Learning Guide,Data Science Handbook,
55,JavaScript Guide,Books,35,Comprehensive JavaScript programming guide.,C# Programming Book,Python Handbook,
56,Python Handbook,Books,50,Handbook for Python programming.,Data Science Handbook,JavaScript Guide,
57,Networking Basics,Books,45,Basics of computer networking.,Azure Fundamentals,Cloud Security Basics,
58,Trail Shoes,Footwear,90,Durable trail running shoes for outdoors.,Water Bottle,Headlamp,
59,Camping Stove,Outdoor,110,Portable camping stove for cooking.,Camping Cookware,Water Bottle,
60,Hiking Poles,Outdoor,60,Lightweight trekking poles for hiking.,Tent,Trail Shoes,
61,Camp Chair,Outdoor,40,Foldable camping chair.,Lantern,Tent,
62,GPS Watch,Outdoor,200,GPS watch for navigation and fitness.,Trail Shoes,Headlamp,
63,Hammock,Outdoor,50,Lightweight camping hammock.,Sleeping Bag,Lantern,
64,Binoculars,Outdoor,150,High-resolution binoculars for outdoors.,Lantern,Trail Shoes,
65,Tent (2-person),Outdoor,180,Compact 2-person camping tent.,Sleeping Bag,Camp Chair,
66,Camping Cookware,Outdoor,80,Set of pots and pans for camping.,Camping Stove,Water Bottle,
67,Trail Jacket,Outdoor,120,Insulated jacket for hiking.,Hiking Backpack,Trail Shoes,
68,Solar Charger,Outdoor,70,Portable solar panel charger.,Camping Stove,Lantern,
69,Water Filter,Outdoor,30,Water purification filter for camping.,Water Bottle,Camping Cookware,
70,Gaming Controller,Electronics,60,Wireless gaming console controller.,Xbox Series X,Gaming Headset,
71,Gaming Headset,Electronics,100,Surround-sound gaming headset.,Gaming Controller,VR Headset,
72,Wi-Fi Extender,Hardware,45,Wireless range extender for Wi-Fi.,Router,Ethernet Cable,
73,Memory Card,Accessories,20,32GB high-speed memory card.,Camera,USB-C Hub,
74,Camera,Electronics,350,Digital DSLR camera with lens.,Tripod,Memory Card,
75,Tripod,Accessories,80,Tripod stand for cameras.,Camera,Binoculars,
76,Microphone,Electronics,120,USB microphone for recording and streaming.,Webcam,Headphones,
77,Smart Thermostat,Electronics,200,Wi-Fi enabled smart thermostat.,Router,Smartphone,
78,3D Printer,Electronics,800,Desktop 3D printer for home use.,USB-C Hub,VR Headset,
79,USB Cable,Accessories,10,USB 3.0 cable, 1m length.,External Hard Drive,USB-C Hub
80,Ethernet Cable,Accessories,8,Cat6 ethernet cable, 2m length.,Router,Wi-Fi Extender
81,Monitor Stand,Accessories,30,Adjustable stand for monitors.,Monitor,Desk Lamp,
82,Desk Lamp,Accessories,25,LED desk lamp with USB charging port.,Monitor Stand,Surge Protector,
83,Tablet,Electronics,300,10-inch Android tablet device.,Smartphone,Wireless Charger,
84,Smart Glasses,Electronics,400,Augmented reality smart glasses.,Smartphone,VR Headset,
85,Raspberry Pi,Electronics,35,Mini single-board computer.,Arduino Kit,HDMI Cable,
86,Arduino Kit,Electronics,70,Microcontroller beginner kit.,Raspberry Pi,Python Handbook,
87,Gaming Keyboard,Accessories,120,RGB mechanical gaming keyboard.,Gaming Mouse,Gaming Headset,
88,Gaming Mouse,Accessories,80,High-DPI wired gaming mouse.,Gaming Keyboard,Gaming Headset,
89,Surface Laptop,Electronics,1000,Slim and powerful Windows laptop.,Surface Book,Windows 11 Pro,
90,Surface Book,Electronics,1500,High-performance 2-in-1 laptop.,Surface Laptop,Adobe Photoshop,
91,UltraWide Monitor,Electronics,500,34-inch ultra-wide monitor display.,Monitor Stand,HDMI Cable,
92,4K Monitor,Electronics,400,27-inch 4K UHD monitor display.,Monitor Stand,HDMI Cable,
93,Power Supply,Hardware,100,650W PC power supply unit.,Motherboard,Graphics Card,
94,CPU,Hardware,300,Latest-generation desktop processor.,Motherboard,RAM,
95,Motherboard,Hardware,250,ATX motherboard for PC build.,CPU,RAM,
96,RAM,Hardware,150,16GB DDR4 memory kit.,Motherboard,Graphics Card,
97,Gaming PC,Electronics,1500,High-end gaming PC bundle.,Graphics Card,Gaming Keyboard,
98,Cloud Subscription,Software,100,One-year cloud services subscription.,Office 365,Azure DevOps,
99,DevOps Toolkit,Accessories,50,Set of DevOps stickers and guides.,Azure DevOps,GitHub Enterprise,
100,VR Gloves,Electronics,150,Gloves for virtual reality interaction.,VR Headset,Gaming PC,
